trade_date,open,high,low,close,vol,amount,adj_factor
20240126,46.9,47.18,46.23,46.5,180095.79,842394.635,1.0
20240129,46.5,47.18,44.97,45.35,168194.54,769790.276,1.0
20240130,44.99,45.25,43.03,43.08,236310.83,1036409.5,1.0
20240131,43.0,44.19,41.85,43.29,264880.8,1138964.849,1.0
20240201,42.8,44.1,41.77,42.68,219480.19,944854.159,1.0
20240202,42.78,43.25,40.68,42.13,252096.49,1061214.849,1.0
20240205,42.26,43.55,40.32,42.97,285353.49,1202298.077,1.0
20240206,42.71,45.0,42.06,44.97,292766.67,1286311.624,1.0
20240207,44.66,44.67,42.75,42.9,442121.73,1925685.26,1.0
20240208,43.11,44.3,43.03,44.0,309154.6,1353733.987,1.0
20240219,44.6,45.07,44.11,44.82,285691.19,1274866.151,1.0
20240220,44.55,45.03,43.9,44.45,186966.25,830698.817,1.0
20240221,44.26,45.8,44.15,44.99,249731.79,1125352.27,1.0
20240222,44.95,45.71,44.61,45.14,244719.27,1102980.264,1.0
20240223,45.26,45.44,44.6,44.98,229296.3,1030559.983,1.0
20240226,44.65,45.55,44.34,44.92,271582.47,1219389.458,1.0
20240227,44.82,47.58,44.55,47.32,505759.34,2341707.696,1.0
20240228,47.0,47.92,45.5,45.56,451760.27,2119465.291,1.0
20240229,45.4,49.11,45.3,48.35,569612.22,2720709.758,1.0
20240301,48.05,48.75,47.7,48.51,395754.68,1909634.953,1.0
20240304,48.5,48.7,47.67,48.0,270261.07,1301182.39,1.0
20240305,47.76,48.4,47.59,48.0,285279.01,1365886.776,1.0
20240306,48.0,48.05,47.01,47.59,203828.27,969336.57,1.0
20240307,47.65,48.45,46.8,47.09,238630.63,1136078.794,1.0
20240308,47.11,47.76,46.6,47.4,189472.43,895629.931,1.0
20240311,46.86,48.23,46.5,47.99,267494.25,1266403.682,1.0
20240312,47.86,48.5,47.68,47.88,210031.83,1008523.237,1.0
20240313,47.97,48.88,47.6,47.85,243073.82,1172291.362,1.0
20240314,47.51,47.81,46.62,46.7,204171.64,961432.779,1.0
20240315,46.6,46.84,46.0,46.67,161959.57,751034.883,1.0
20240318,46.87,48.44,46.7,47.97,298342.87,1419257.651,1.0
20240319,47.8,47.99,47.2,47.21,172451.75,820456.004,1.0
20240320,47.49,48.15,47.25,47.54,153499.73,731912.759,1.0
20240321,47.54,48.1,47.1,47.55,195076.22,929590.455,1.0
20240322,47.3,47.51,45.58,45.6,292865.13,1357453.26,1.0
20240325,45.59,45.66,44.56,44.56,214481.61,965562.414,1.0
20240326,44.6,45.05,44.2,44.54,154276.67,687234.773,1.0
20240327,44.82,44.82,43.38,43.41,159330.41,700495.124,1.0
20240328,43.41,44.46,43.41,44.0,155078.48,682776.444,1.0
20240329,43.93,43.98,42.9,43.66,165388.37,717917.544,1.0
20240401,43.66,44.63,43.58,44.3,183511.43,811634.437,1.0
20240402,44.28,44.3,43.65,43.95,115068.68,504883.931,1.0
20240403,44.98,45.24,44.08,44.24,223609.53,996010.784,1.0
20240408,43.7,43.71,42.5,42.51,243290.41,1042392.026,1.0
20240409,42.37,42.88,42.25,42.7,140938.75,600699.958,1.0
20240410,42.7,42.98,42.1,42.18,137975.41,585993.073,1.0
20240411,42.1,42.6,40.5,41.19,224263.24,931943.069,1.0
20240412,41.02,41.45,40.31,40.33,203770.15,829048.827,1.0
20240415,40.33,41.55,40.01,41.19,216778.22,886154.84,1.0
20240416,41.0,41.87,40.78,41.18,185269.91,766353.527,1.0
20240417,41.2,41.79,40.91,41.75,181266.86,752698.692,1.0
20240418,41.5,41.88,41.35,41.61,165833.42,690686.483,1.0
20240419,41.36,41.74,40.85,41.38,137413.17,567558.213,1.0
20240422,41.31,41.62,40.86,41.31,109905.46,453953.673,1.0
20240423,41.32,41.68,41.02,41.11,109941.45,454747.881,1.0
20240424,41.25,41.39,40.8,41.25,151938.78,624334.52,1.0
20240425,41.25,41.86,40.92,41.34,143844.39,595555.209,1.0
20240426,41.1,42.12,41.1,42.06,220510.22,922197.643,1.0
20240429,42.13,43.36,42.13,43.05,237697.02,1020182.748,1.0
20240430,43.0,43.0,41.76,41.91,233965.49,988025.344,1.0
20240506,42.49,43.03,42.33,42.56,220428.62,941283.488,1.0
20240507,42.55,42.73,42.2,42.71,129383.05,550573.775,1.0
20240508,42.81,42.82,42.08,42.16,111558.61,472673.353,1.0
20240509,42.18,43.89,42.16,43.72,312166.37,1351312.043,1.0
20240510,43.7,43.98,42.74,42.99,257787.63,1112390.433,1.0
20240513,42.7,43.5,42.38,43.06,155253.14,667418.005,1.0
20240514,43.06,43.45,42.71,42.92,135428.28,581796.402,1.0
20240515,42.74,42.87,41.62,41.66,211118.66,889591.26,1.0
20240516,42.0,42.5,41.8,41.82,149030.76,627385.977,1.0
20240517,41.83,42.32,41.56,42.3,126369.35,531097.295,1.0
20240520,42.4,42.88,42.2,42.57,148070.69,631055.044,1.0
20240521,42.62,42.63,42.03,42.11,97813.98,413394.676,1.0
20240522,42.15,42.45,41.84,42.27,143029.21,601957.235,1.0
20240523,42.18,42.2,41.08,41.17,173715.15,722285.055,1.0
20240524,41.13,41.35,41.0,41.03,101365.51,417552.864,1.0
20240527,41.36,43.17,41.36,43.13,374929.96,1593196.322,1.0
20240528,43.13,43.99,42.9,43.11,349632.97,1516562.322,1.0
20240529,42.87,43.4,42.59,42.94,168153.29,722546.139,1.0
20240530,43.03,45.96,42.8,45.39,688850.04,3094280.19,1.0
20240531,45.1,45.49,44.69,44.85,314630.49,1414729.533,1.0
20240603,44.96,46.36,44.8,45.44,393681.71,1796427.446,1.0
20240604,45.3,45.75,44.72,45.55,240509.59,1087304.81,1.0
20240605,45.42,47.14,45.3,46.12,395896.73,1841218.738,1.0
20240606,47.23,47.74,46.51,46.8,530522.61,2503751.094,1.0
20240607,46.79,47.74,46.42,47.21,361994.09,1706416.314,1.0
20240611,47.09,49.0,47.05,48.94,543172.33,2638626.377,1.0
20240612,48.7,48.7,47.59,47.9,415576.27,1995880.529,1.0
20240613,48.18,48.85,47.11,47.2,451427.45,2167830.387,1.0
