trade_date,open,high,low,close,vol,amount,adj_factor
20230915,244.0,246.84,241.51,244.29,82255.95,2010812.284,1.0
20230918,244.5,251.2,244.29,247.38,96405.22,2395846.503,1.0
20230919,246.0,248.28,243.8,247.17,62396.93,1533948.927,1.0
20230920,245.0,246.28,244.0,244.0,54497.1,1332673.933,1.0
20230921,243.0,243.87,238.55,239.68,92964.62,2232606.21,1.0
20230922,239.52,245.66,238.5,245.05,96763.96,2356419.361,1.0
20230925,246.83,246.98,244.35,245.8,64786.8,1592828.38,1.0
20230926,245.0,245.0,238.3,238.5,118462.63,2846103.7,1.0
20230927,239.11,242.22,237.79,237.83,75733.67,1808518.866,1.0
20230928,238.8,239.5,236.05,236.7,85257.68,2022931.184,1.0
20231009,236.7,238.51,229.66,237.97,91790.71,2162900.147,1.0
20231010,237.96,240.02,237.0,237.91,63936.61,1524841.111,1.0
20231011,241.96,242.5,238.0,238.59,76683.73,1838352.974,1.0
20231012,240.4,245.5,239.0,244.45,139340.94,3391600.251,1.0
20231013,241.9,242.77,239.8,240.36,66445.23,1598611.952,1.0
20231016,240.4,241.08,236.5,237.51,66022.21,1573224.653,1.0
20231017,237.52,239.99,236.5,238.0,49163.59,1169236.112,1.0
20231018,245.6,251.0,244.0,249.07,307862.84,7646061.771,1.0
20231019,246.95,247.97,240.34,240.6,147753.28,3595894.522,1.0
20231020,240.0,241.8,238.21,239.2,85658.61,2050294.971,1.0
20231023,240.0,240.0,236.2,238.65,73536.83,1747793.907,1.0
20231024,239.3,240.5,234.67,235.55,110778.92,2614866.694,1.0
20231025,237.97,240.01,236.22,237.4,83675.73,1993861.828,1.0
20231026,236.06,238.8,235.7,238.61,73199.35,1738279.51,1.0
20231027,238.0,243.5,237.52,241.95,103205.56,2490630.305,1.0
20231030,239.51,244.99,238.7,244.6,117295.47,2849732.929,1.0
20231031,243.5,243.99,237.5,238.54,127204.75,3044814.889,1.0
20231101,238.0,238.0,235.42,236.2,93390.42,2206820.551,1.0
20231102,237.86,237.88,234.8,234.8,85414.16,2015702.321,1.0
20231103,235.51,239.15,234.88,238.65,90679.42,2154652.391,1.0
20231106,240.51,243.43,240.0,242.9,143547.86,3472633.48,1.0
20231107,243.0,244.3,240.51,240.97,94512.93,2287202.177,1.0
20231108,240.36,240.86,239.18,240.0,80128.14,1921682.141,1.0
20231109,240.0,240.75,238.34,239.3,73182.74,1750698.708,1.0
20231110,239.0,239.0,235.66,236.96,81901.9,1940054.003,1.0
20231113,237.88,238.18,235.1,237.12,69738.46,1649215.951,1.0
20231114,237.3,238.2,236.6,237.63,55216.55,1310694.854,1.0
20231115,239.9,240.0,238.3,238.64,78691.67,1881360.641,1.0
20231116,239.8,239.8,237.22,238.3,61690.07,1471253.077,1.0
20231117,237.0,238.59,236.0,236.76,59462.29,1408060.178,1.0
20231120,235.8,236.5,234.58,235.0,76770.94,1804923.944,1.0
20231121,235.69,236.68,233.66,234.2,82386.34,1937039.109,1.0
20231122,233.5,233.5,229.88,230.0,105571.08,2440478.827,1.0
20231123,230.5,231.28,227.12,228.83,105763.94,2425947.586,1.0
20231124,228.8,228.8,215.4,216.85,280659.48,6162803.841,1.0
20231127,212.0,212.0,205.0,208.9,215480.87,4487132.027,1.0
20231128,208.92,211.77,207.01,209.91,122211.43,2562912.238,1.0
20231129,209.88,209.9,201.39,201.98,219246.3,4464902.232,1.0
20231130,201.6,202.73,198.45,199.15,187242.15,3745049.006,1.0
20231201,200.48,200.82,192.81,197.05,194189.85,3799477.664,1.0
20231204,197.05,199.29,193.6,196.39,117613.15,2317283.54,1.0
20231205,197.0,199.96,195.61,196.34,152372.47,3021632.365,1.0
20231206,196.35,201.24,196.0,201.19,176347.37,3523669.818,1.0
20231207,201.19,201.2,197.3,199.45,103169.24,2051259.486,1.0
20231208,199.03,200.36,198.32,198.55,77700.19,1547061.882,1.0
20231211,196.75,199.58,194.64,199.19,101086.35,1989856.428,1.0
20231212,198.18,198.73,196.12,196.33,79797.21,1572793.711,1.0
20231213,195.82,195.82,191.72,191.8,117534.92,2270646.821,1.0
20231214,193.0,196.18,191.11,191.18,92496.7,1787086.925,1.0
20231215,193.08,194.39,191.08,193.28,101841.34,1966549.057,1.0
20231218,191.06,192.5,188.31,189.06,100511.47,1906643.036,1.0
20231219,188.53,188.68,186.16,188.0,79369.72,1487629.709,1.0
20231220,188.33,189.33,184.87,184.88,84924.82,1585187.697,1.0
20231221,183.33,189.98,182.85,189.68,133149.43,2494208.947,1.0
20231222,189.9,195.38,188.04,192.25,117997.66,2267509.852,1.0
20231225,193.0,194.2,190.21,192.18,53769.86,1032287.275,1.0
20231226,192.16,192.16,190.0,191.75,41380.33,790091.023,1.0
20231227,193.0,193.5,190.7,191.45,61364.02,1174486.108,1.0
20231228,191.03,198.66,190.66,198.05,138777.8,2722971.14,1.0
20231229,198.97,199.8,197.15,198.0,80367.29,1591969.846,1.0
20240102,199.61,199.62,192.37,192.6,113928.32,2212162.4,1.0
20240103,192.5,193.87,190.7,193.17,84485.96,1624093.056,1.0
20240104,194.34,194.65,191.1,193.02,89870.36,1731882.12,1.0
20240105,192.47,197.5,191.13,192.68,112401.88,2187835.615,1.0
20240108,192.8,193.66,189.15,189.4,81078.39,1543893.919,1.0
20240109,191.0,196.0,190.2,192.86,112186.51,2167747.852,1.0
20240110,191.7,193.3,189.6,190.29,71416.23,1364589.162,1.0
20240111,190.2,198.7,188.81,196.78,159861.74,3120354.836,1.0
20240112,196.78,198.25,195.29,195.87,87022.64,1711086.656,1.0
20240115,194.72,197.0,192.42,194.61,70219.93,1364639.692,1.0
20240116,193.9,196.55,193.07,195.3,83808.6,1633959.523,1.0
20240117,194.2,194.55,186.8,186.8,160794.71,3050944.39,1.0
20240118,185.65,191.0,184.91,190.48,114591.65,2150839.668,1.0
20240119,189.49,192.96,188.7,189.34,80905.16,1540978.199,1.0
20240122,188.87,191.3,184.56,185.34,132239.73,2487370.789,1.0
20240123,185.0,188.96,184.3,187.85,110725.62,2072060.504,1.0
20240124,189.28,189.85,184.08,188.7,96641.21,1805379.382,1.0
20240125,188.88,190.9,185.66,189.9,130769.08,2470818.453,1.0
20240126,189.0,189.0,185.5,185.86,115854.64,2160578.276,1.0
20240129,185.9,186.0,178.31,178.44,146042.52,2647388.166,1.0
20240130,173.08,175.48,170.3,171.97,190761.18,3296016.841,1.0
20240131,171.09,175.28,170.32,170.73,125368.41,2155163.736,1.0
20240201,170.0,173.0,168.36,170.89,116650.74,1996429.637,1.0
20240202,170.96,171.88,163.01,167.0,147991.71,2485326.236,1.0
20240205,165.0,171.78,162.77,168.0,186216.2,3122618.403,1.0
20240206,166.0,176.11,165.5,175.87,176189.75,3054635.573,1.0
20240207,177.25,183.0,176.1,179.56,160093.7,2880398.922,1.0
20240208,181.49,183.35,180.7,181.17,119245.66,2168509.15,1.0
20240219,183.88,185.35,181.84,183.5,119687.07,2192419.553,1.0
20240220,183.5,183.68,177.0,179.02,113357.36,2023820.072,1.0
20240221,177.1,185.6,176.66,183.0,147692.98,2700340.931,1.0
20240222,182.9,183.64,181.26,182.99,80906.13,1476863.326,1.0
20240223,182.99,183.99,180.83,182.68,91174.9,1660682.308,1.0
20240226,186.0,190.13,185.55,186.0,155460.76,2912982.36,1.0
20240227,187.45,193.93,187.2,193.7,206342.65,3958101.887,1.0
20240228,196.0,196.52,188.0,188.0,168291.53,3223632.043,1.0
20240229,187.01,191.61,186.19,191.2,122362.89,2323915.657,1.0
20240301,190.9,192.98,188.77,192.18,122158.28,2336111.334,1.0
20240304,190.0,191.7,188.1,189.27,126865.1,2401200.046,1.0
20240305,187.5,191.65,185.5,190.82,149624.43,2826124.074,1.0
20240306,190.0,192.98,189.0,191.65,100100.4,1914828.109,1.0
20240307,192.06,193.96,188.8,188.89,101326.88,1935953.172,1.0
20240308,188.3,190.15,187.25,188.09,67149.68,1263993.368,1.0
20240311,188.0,199.9,188.0,198.74,278080.46,5440726.383,1.0
20240312,201.0,206.66,197.77,205.1,245028.92,4958824.423,1.0
20240313,206.92,210.4,205.83,206.36,177812.91,3691839.469,1.0
20240314,208.42,215.36,208.42,212.08,211352.19,4497086.17,1.0
20240315,210.0,211.38,206.18,209.47,146628.02,3057950.744,1.0
20240318,211.85,218.25,211.61,218.03,196981.82,4250885.884,1.0
20240319,218.03,219.85,214.39,216.8,146972.68,3194716.173,1.0
20240320,217.01,220.78,217.01,218.48,96805.23,2118610.339,1.0
20240321,218.92,219.8,217.0,218.95,88667.09,1938901.108,1.0
20240322,218.95,218.97,215.2,216.95,104671.61,2266796.544,1.0
20240325,216.37,217.79,212.85,214.2,99109.4,2133902.462,1.0
20240326,216.0,219.99,215.27,219.6,131346.27,2864082.717,1.0
20240327,219.61,219.7,210.01,211.98,188848.98,4058093.22,1.0
20240328,209.85,211.84,206.01,208.38,159435.31,3327175.192,1.0
20240329,208.43,208.52,201.17,203.06,141381.08,2873380.486,1.0
20240401,203.06,212.98,203.06,212.01,142909.27,2995671.851,1.0
20240402,212.01,217.3,211.8,212.34,107584.79,2301699.126,1.0
20240403,210.5,211.11,207.55,208.16,83633.79,1747159.207,1.0
20240408,207.0,215.0,206.39,212.0,128227.18,2722271.578,1.0
20240409,211.75,214.99,211.35,212.08,84208.46,1791256.313,1.0
